,Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,Screening_Date,RecSupervisionLevel,Scale_ID,ScoreText
19,PRETRIAL,1,African-American,112523016,22,Intake,English,Pretrial,Jail Inmate,Single,1357231613,1,8,Low
20,Probation,0,Hispanic,-571031736,22,Intake,English,Pretrial,Jail Inmate,Widowed,1357452525,2,8,Low
21,DRRD,1,Caucasian,-297630214,22,Intake,English,Pretrial,Probation,Single,1357511905,4,8,Medium
22,PRETRIAL,1,African-American,-200159819,22,Intake,English,Pretrial,Probation,Single,1357246685,3,8,High
23,PRETRIAL,1,Asian,-621989472,22,Intake,English,Post Sentence,Jail Inmate,Single,1357805269,2,8,Low
24,Probation,0,African-American,-49777923,17,Intake,English,Pretrial,Jail Inmate,Single,1358648183,1,8,Medium
25,PRETRIAL,1,African-American,-200997070,22,Intake,English,Pretrial,Jail Inmate,Single,1357320370,3,8,Medium
26,Probation,0,African-American,402459150,22,Intake,English,Other,Jail Inmate,Single,1358114210,3,8,Low
27,PRETRIAL,0,African-American,-923828860,22,Intake,English,Pretrial,Probation,Single,1358991456,1,8,High
28,PRETRIAL,1,African-American,-66214045,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357381889,1,8,Medium
29,PRETRIAL,1,Hispanic,-297752501,22,Intake,English,Pretrial,Prison Inmate,Single,1357542423,2,8,Low
30,Probation,1,African-American,366406264,22,Intake,English,Pretrial,Jail Inmate,Married,1357572734,1,8,Low
31,Probation,1,Caucasian,18761567,22,Intake,English,Pretrial,Jail Inmate,Single,1357389051,1,8,Medium
32,PRETRIAL,1,African-American,35516572,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357318104,1,8,Low
33,PRETRIAL,1,African-American,453560267,22,Intake,English,Pretrial,Jail Inmate,Single,1357561158,4,8,Low
34,Probation,1,Hispanic,-15461163,17,Intake,English,Pretrial,Probation,Divorced,1357227322,4,8,Medium
35,Probation,1,Caucasian,-794990252,22,Intake,English,Conditional Release,Pretrial Defendant,Single,1357734901,4,8,Low
36,Probation,0,African-American,-305343215,22,Intake,English,Pretrial,Jail Inmate,Single,1357296011,1,8,High
37,PRETRIAL,0,African-American,-494916889,17,Intake,English,Pretrial,Jail Inmate,Single,1357968768,2,8,Low
38,PRETRIAL,1,African-American,-925524040,22,Intake,English,Pretrial,Probation,Married,1357477558,3,8,Low
39,Probation,1,Hispanic,-747588535,22,Intake,English,Pretrial,Jail Inmate,Divorced,1357400752,1,8,Low
40,Probation,1,African-American,-815127851,17,Intake,English,Pretrial,Residential Program,Single,1357014693,1,8,Low
41,Probation,1,African-American,318735085,22,Intake,English,Pretrial,Jail Inmate,Single,1359058940,1,8,High
42,Probation,1,African-American,-144253978,22,Intake,English,Pretrial,Probation,Separated,1359086086,1,8,High
43,Probation,1,African-American,-107034186,22,Intake,English,Pretrial,Jail Inmate,Single,1357342006,3,8,Low
44,PRETRIAL,1,Hispanic,-4330221,22,Intake,English,Pretrial,Jail Inmate,Single,1359385789,1,8,Low
45,PRETRIAL,0,African-American,-395661723,22,Intake,English,Post Sentence,Jail Inmate,Single,1357211551,1,8,High
46,PRETRIAL,1,African-American,690671040,22,Intake,English,Pretrial,Jail Inmate,Single,1357537714,1,8,High
47,Probation,1,Hispanic,143065295,22,Intake,English,Pretrial,Jail Inmate,Single,1358390879,3,8,High
48,Probation,1,Hispanic,-90773141,22,Intake,English,Other,Probation,Married,1357266734,3,8,High
49,PRETRIAL,1,African-American,-418368354,22,Intake,English,Post Sentence,Jail Inmate,Married,1357138823,3,8,Medium
50,Probation,1,African-American,-1065166085,22,Intake,English,Pretrial,Probation,Single,1357459006,2,8,Low
51,PRETRIAL,1,African-American,-668821537,22,Intake,English,Pretrial,Jail Inmate,Married,1357220644,1,8,Medium
52,Probation,1,African-American,-139344870,22,Intake,English,Post Sentence,Pretrial Defendant,Married,1357231040,4,8,Medium
53,PRETRIAL,1,African-American,-205243699,22,Intake,English,Pretrial,Jail Inmate,Single,1358082399,1,8,Low
54,Probation,1,Caucasian,51892717,22,Intake,English,Pretrial,Probation,Single,1357914385,3,8,Low
55,PRETRIAL,1,Caucasian,386716060,22,Intake,English,Pretrial,Jail Inmate,Single,1357177652,3,8,Low
56,PRETRIAL,1,Hispanic,-29104300,22,Intake,English,Pretrial,Probation,Divorced,1358766881,1,8,High
57,PRETRIAL,0,Caucasian,495441475,22,Intake,English,Pretrial,Prison Inmate,Divorced,1358486410,4,8,Low
58,PRETRIAL,0,African-American,731913935,22,Intake,English,Pretrial,Jail Inmate,Single,1359357405,3,8,High
59,PRETRIAL,1,African-American,112689544,22,Intake,English,Other,Jail Inmate,Single,1358513054,1,8,Low
60,PRETRIAL,0,Hispanic,-216820563,22,Intake,English,Post Sentence,Probation,Married,1357313110,1,8,Low
61,PRETRIAL,1,Hispanic,215255815,22,Intake,English,Pretrial,Jail Inmate,Single,1358686899,1,8,Medium
62,PRETRIAL,0,African-American,-678675468,22,Intake,English,Pretrial,Jail Inmate,Divorced,1357201511,1,8,Low
63,Probation,1,African-American,-589288333,22,Intake,English,Pretrial,Jail Inmate,Married,1357164913,4,8,Low
64,PRETRIAL,1,African-American,-732189996,22,Intake,English,Pretrial,Residential Program,Single,1357030894,3,8,High
65,PRETRIAL,1,Other,-1085915470,22,Intake,English,Pretrial,Probation,Single,1358556914,1,8,Medium
66,PRETRIAL,1,African-American,42136317,22,Intake,English,Post Sentence,Jail Inmate,Single,1358870758,1,8,Medium
67,Probation,0,Hispanic,689398486,22,Intake,English,Pretrial,Probation,Married,1357441663,4,8,Low
68,DRRD,1,African-American,-345723931,22,Intake,English,Pretrial,Jail Inmate,Single,1357298538,1,8,Medium
69,PRETRIAL,1,African-American,164178521,22,Intake,English,Post Sentence,Jail Inmate,Divorced,1357005145,1,8,Low
70,PRETRIAL,1,African-American,59420473,22,Intake,English,Pretrial,Probation,Single,1358489575,1,8,Medium
71,PRETRIAL,1,Hispanic,-1064908752,22,Intake,English,Pretrial,Probation,Married,1357342955,1,8,High
72,PRETRIAL,1,African-American,521624311,17,Intake,English,Pretrial,Probation,Single,1357183609,1,8,High
73,PRETRIAL,1,African-American,313321567,22,Intake,English,Pretrial,Jail Inmate,Married,1358607922,1,8,High
74,Probation,0,African-American,-197390433,22,Intake,English,Pretrial,Jail Inmate,Single,1357802526,1,8,High
75,PRETRIAL,1,Other,674522729,22,Intake,English,Pretrial,Jail Inmate,Separated,1358727469,1,8,High
76,DRRD,1,Caucasian,-913776303,17,Intake,English,Pretrial,Probation,Single,1357712131,4,8,High
77,PRETRIAL,0,Caucasian,-806316249,22,Intake,English,Pretrial,Jail Inmate,Single,1357251750,3,8,Low
78,Probation,1,African-American,539423454,22,Intake,English,Post Sentence,Jail Inmate,Single,1357705973,2,8,Low
79,PRETRIAL,1,African-American,202280817,22,Intake,English,Pretrial,Jail Inmate,Single,1358754882,1,8,Low
80,PRETRIAL,0,African-American,-299860777,22,Intake,English,Pretrial,Jail Inmate,Single,1358003982,3,8,Low
81,PRETRIAL,0,African-American,252848371,22,Intake,English,Pretrial,Probation,Single,1357336530,1,8,High
82,PRETRIAL,1,African-American,-871614768,22,Intake,English,Pretrial,Probation,Married,1358027223,2,8,Medium
83,PRETRIAL,1,Hispanic,-439794615,22,Intake,English,Pretrial,Probation,Single,1357085272,2,8,High
84,PRETRIAL,0,Hispanic,-252980322,22,Intake,English,Pretrial,Probation,Single,1357182769,1,8,High
85,PRETRIAL,1,African-American,380326515,22,Intake,English,Pretrial,Probation,Single,1357301395,3,8,Low
86,Probation,1,Hispanic,-165515616,22,Intake,English,Pretrial,Jail Inmate,Widowed,1358828056,2,8,Medium
87,PRETRIAL,1,African-American,459830942,17,Intake,English,Pretrial,Probation,Single,1357613522,1,8,Medium
88,PRETRIAL,1,Caucasian,248555129,17,Intake,English,Pretrial,Jail Inmate,Married,1357720665,1,8,Medium
89,PRETRIAL,1,Hispanic,736590627,17,Intake,English,Pretrial,Pretrial Defendant,Single,1358136044,1,8,High
90,Probation,1,African-American,-819962045,22,Intake,English,Pretrial,Probation,Married,1357863974,2,8,Medium
91,PRETRIAL,1,Hispanic,-153145709,22,Intake,English,Pretrial,Pretrial Defendant,Single,1359175156,3,8,Medium
92,PRETRIAL,1,African-American,-568285052,22,Intake,English,Pretrial,Jail Inmate,Single,1358113666,1,8,High
93,PRETRIAL,1,Hispanic,-216590979,22,Intake,Spanish,Pretrial,Residential Program,Separated,1357604152,1,8,Low
94,PRETRIAL,1,African-American,62963202,22,Intake,English,Pretrial,Probation,Married,1357292277,1,8,Low
95,PRETRIAL,0,Asian,416199254,17,Intake,English,Pretrial,Jail Inmate,Single,1357580726,3,8,Low
96,Probation,1,Hispanic,-818347086,22,Intake,English,Pretrial,Probation,Married,1357175116,3,8,Medium
97,PRETRIAL,1,Hispanic,-916489260,22,Intake,English,Pretrial,Jail Inmate,Single,1357161225,2,8,High
98,PRETRIAL,1,African-American,264824051,22,Intake,English,Pretrial,Probation,Divorced,1358338634,2,8,Low
99,PRETRIAL,1,African-American,615350787,22,Intake,English,Pretrial,Probation,Single,1357275408,3,8,Medium
100,PRETRIAL,1,African-American,-1084059420,22,Intake,English,Pretrial,Pretrial Defendant,Single,1358354095,1,8,High
101,Probation,1,African-American,522350422,22,Intake,English,Pretrial,Jail Inmate,Single,1357058482,1,8,Low
102,Probation,1,African-American,-317550337,22,Intake,English,Post Sentence,Jail Inmate,Single,1357300766,2,8,High
103,PRETRIAL,1,African-American,777967,17,Intake,English,Post Sentence,Probation,Separated,1359260770,1,8,Medium
104,Probation,1,Caucasian,-318395585,22,Intake,English,Post Sentence,Jail Inmate,Single,1357570082,3,8,Low
105,Probation,1,African-American,42515135,22,Intake,English,Post Sentence,Probation,Single,1357307707,4,8,Medium
106,PRETRIAL,1,Hispanic,317752512,22,Intake,English,Pretrial,Probation,Single,1357109269,1,8,Low
107,PRETRIAL,1,Oriental,304902730,22,Intake,English,Pretrial,Jail Inmate,Married,1357411226,1,8,Medium
108,PRETRIAL,1,African-American,315783220,17,Intake,English,Pretrial,Pretrial Defendant,Married,1357430364,3,8,Medium
109,PRETRIAL,1,Caucasian,163648303,22,Intake,Spanish,Pretrial,Jail Inmate,Single,1357704630,1,8,Low
110,Probation,0,Oriental,-706473675,22,Intake,English,Conditional Release,Probation,Married,1358023287,1,8,High
111,PRETRIAL,1,African-American,-1020839761,22,Intake,English,Pretrial,Jail Inmate,Single,1357010137,2,8,Low
112,PRETRIAL,0,African-American,-20192550,17,Intake,English,Post Sentence,Probation,Single,1357130054,4,8,High
113,PRETRIAL,1,Caucasian,-644798995,22,Intake,English,Post Sentence,Jail Inmate,Single,1357770878,3,8,Low
114,Probation,1,African-American,33941934,22,Intake,English,Pretrial,Jail Inmate,Single,1357947416,3,8,High
115,PRETRIAL,1,African-American,-602178922,17,Intake,English,Pretrial,Jail Inmate,Married,1357659637,1,8,High
116,Probation,1,African-American,576759573,17,Intake,English,Post Sentence,Jail Inmate,Single,1357451330,2,8,Medium
117,PRETRIAL,1,Caucasian,-820843657,22,Intake,English,Pretrial,Probation,Married,1357036522,1,8,Low
118,Probation,1,African-American,-447182370,22,Intake,English,Post Sentence,Probation,Single,1357642657,2,8,Low
119,PRETRIAL,1,Hispanic,700137633,22,Intake,English,Post Sentence,Probation,Single,1358543250,2,8,Low
120,PRETRIAL,1,African-American,105496564,22,Intake,English,Pretrial,Probation,Divorced,1357775715,1,8,Low
121,Probation,1,African-American,223727923,22,Intake,English,Pretrial,Probation,Single,1357975550,1,8,Low
122,PRETRIAL,1,African-American,144747692,22,Intake,English,Pretrial,Jail Inmate,Single,1357451874,1,8,Low
123,PRETRIAL,1,African-American,-476677434,22,Intake,English,Pretrial,Pretrial Defendant,Married,1358047291,2,8,Low
124,PRETRIAL,0,African-American,-12540066,22,Intake,English,Post Sentence,Probation,Married,1357319192,2,8,Low
125,Probation,1,Hispanic,-80967328,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357924291,1,8,Medium
126,PRETRIAL,0,African-American,186636782,22,Intake,English,Pretrial,Probation,Single,1357274853,1,8,Low
127,PRETRIAL,0,Caucasian,-322253111,22,Intake,English,Pretrial,Jail Inmate,Single,1357720137,3,8,Low
128,Probation,1,African-American,-403242381,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357233497,1,8,Low
129,PRETRIAL,1,Caucasian,336849744,22,Intake,English,Pretrial,Probation,Single,1357042584,2,8,Medium
130,PRETRIAL,1,Caucasian,-873518081,22,Intake,English,Other,Jail Inmate,Single,1357376140,4,8,Medium
131,PRETRIAL,1,Hispanic,-151677935,22,Intake,English,Post Sentence,Jail Inmate,Single,1358369477,1,8,Low
132,Probation,0,African-American,-89486442,22,Intake,English,Pretrial,Probation,Single,1357213114,2,8,Low
133,PRETRIAL,1,Caucasian,-461957013,22,Intake,English,Pretrial,Jail Inmate,Married,1357226763,1,8,Medium
134,PRETRIAL,0,Hispanic,-1048107581,22,Intake,English,Post Sentence,Probation,Widowed,1357136010,2,8,Low
135,PRETRIAL,1,African-American,-386563359,22,Intake,English,Pretrial,Jail Inmate,Single,1359190428,1,8,Low
136,PRETRIAL,0,African-American,632695034,22,Intake,English,Pretrial,Pretrial Defendant,Single,1359413911,1,8,Low
137,PRETRIAL,1,African-American,44582389,22,Intake,English,Post Sentence,Probation,Single,1357887441,1,8,Medium
138,PRETRIAL,1,Caucasian,-946135504,22,Intake,English,Post Sentence,Probation,Single,1357148125,1,8,Low
139,Probation,1,Hispanic,-195731560,22,Intake,English,Pretrial,Jail Inmate,Single,1357294850,1,8,High
140,Probation,1,African-American,472453518,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357182950,2,8,High
141,PRETRIAL,1,African-American,420528819,22,Intake,English,Pretrial,Jail Inmate,Single,1357329963,2,8,Medium
142,DRRD,0,African-American,2325373,22,Intake,English,Pretrial,Jail Inmate,Single,1357482408,1,8,Medium
143,PRETRIAL,1,Hispanic,33245573,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357550780,4,8,High
144,PRETRIAL,1,Caucasian,307720877,22,Intake,English,Pretrial,Probation,Single,1358533277,1,8,High
145,PRETRIAL,0,African-American,-953916210,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357310679,4,8,Low
146,Probation,0,African-American,326128421,22,Intake,English,Pretrial,Probation,Married,1357301404,1,8,Low
147,Probation,1,Caucasian,202667968,22,Intake,English,Pretrial,Pretrial Defendant,Married,1358478843,1,8,Medium
148,PRETRIAL,0,African-American,-238387123,22,Intake,English,Pretrial,Jail Inmate,Single,1357196195,1,8,Low
149,Probation,1,Caucasian,-65814281,22,Intake,English,Pretrial,Jail Inmate,Single,1357246702,2,8,Low
150,Probation,1,Hispanic,-758838187,22,Intake,English,Pretrial,Prison Inmate,Divorced,1357010983,4,8,High
151,PRETRIAL,1,African-American,-611076326,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357433756,4,8,Low
152,Probation,1,African-American,207876657,22,Intake,English,Pretrial,Jail Inmate,Single,1357361127,1,8,Medium
153,PRETRIAL,1,Caucasian,-205905668,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357273897,2,8,Low
154,PRETRIAL,0,Hispanic,-457816965,22,Intake,English,Pretrial,Jail Inmate,Single,1357009227,4,8,Low
155,DRRD,0,African-American,-426113175,22,Intake,English,Pretrial,Probation,Single,1358029013,2,8,Low
156,Probation,1,Hispanic,-28154735,22,Intake,English,Pretrial,Probation,Divorced,1357213245,3,8,Medium
157,Probation,1,African-American,-215111129,22,Intake,English,Pretrial,Probation,Single,1357516527,3,8,High
158,Probation,0,African-American,330889613,22,Intake,English,Pretrial,Probation,Single,1358931523,1,8,High
159,Probation,1,Caucasian,37670770,22,Intake,English,Post Sentence,Jail Inmate,Single,1357794595,1,8,Low
160,PRETRIAL,1,African-American,151146337,22,Intake,English,Pretrial,Jail Inmate,Single,1357171452,3,8,High
161,PRETRIAL,1,African-American,83938209,22,Intake,English,Pretrial,Probation,Single,1357631911,3,8,Medium
162,Probation,0,Caucasian,-151068565,22,Intake,English,Post Sentence,Probation,Single,1357139273,1,8,Medium
163,PRETRIAL,1,Hispanic,323563585,22,Intake,English,Pretrial,Jail Inmate,Single,1357254382,2,8,High
164,DRRD,1,African-American,735926625,22,Intake,English,Pretrial,Jail Inmate,Single,1357057058,1,8,Medium
165,PRETRIAL,0,African-American,665511080,22,Intake,English,Pretrial,Jail Inmate,Single,1357810021,1,8,Medium
166,Probation,1,Caucasian,22901437,17,Intake,English,Pretrial,Jail Inmate,Divorced,1357128021,1,8,Medium
167,PRETRIAL,1,Caucasian,-360242873,22,Intake,English,Pretrial,Probation,Single,1358219810,1,8,Low
168,PRETRIAL,0,African-American,-919766934,22,Intake,English,Pretrial,Probation,Significant Other,1357327433,3,8,Medium
169,Probation,1,Caucasian,-863702270,22,Intake,English,Pretrial,Jail Inmate,Single,1357213429,1,8,High
170,PRETRIAL,1,Caucasian,314851524,22,Intake,English,Pretrial,Probation,Single,1357134372,1,8,Low
171,PRETRIAL,0,Caucasian,556637829,22,Intake,English,Pretrial,Jail Inmate,Married,1359504000,4,8,Medium
172,Probation,1,Caucasian,-537691266,22,Intake,English,Pretrial,Probation,Single,1357077132,2,8,Low
173,PRETRIAL,0,Hispanic,-159488364,22,Intake,English,Pretrial,Jail Inmate,Single,1357894267,1,8,Low
174,PRETRIAL,1,Caucasian,112917239,22,Intake,English,Post Sentence,Jail Inmate,Single,1357798356,4,8,High
175,Probation,1,African-American,-106140405,22,Intake,English,Other,Jail Inmate,Single,1357307930,3,8,Medium
176,PRETRIAL,1,Hispanic,365623851,22,Intake,English,Post Sentence,Jail Inmate,Single,1357196395,3,8,Low
177,PRETRIAL,1,African-American,342028874,22,Intake,English,Pretrial,Residential Program,Married,1358386438,3,8,High
178,Probation,1,African-American,-666636667,22,Intake,English,Pretrial,Pretrial Defendant,Single,1358227363,2,8,Low
179,Probation,1,Caucasian,-217993785,22,Intake,English,Pretrial,Probation,Single,1357472548,1,8,Medium
180,PRETRIAL,0,African-American,53644730,22,Intake,English,Pretrial,Probation,Single,1357364230,1,8,Low
181,PRETRIAL,1,African-American,225272715,22,Intake,English,Pretrial,Jail Inmate,Divorced,1357342516,1,8,Low
182,PRETRIAL,0,Other,-90990378,22,Intake,English,Pretrial,Jail Inmate,Single,1357563463,3,8,Low
183,PRETRIAL,0,Caucasian,-366636037,22,Intake,English,Probation Violator,Probation,Married,1357210377,1,8,Medium
184,Probation,1,African-American,-49052599,22,Intake,English,Post Sentence,Jail Inmate,Single,1357096761,1,8,Medium
185,PRETRIAL,1,African-American,-509515472,22,Intake,English,Pretrial,Jail Inmate,Married,1359504000,1,8,Low
186,PRETRIAL,1,Caucasian,-705452385,22,Intake,English,Pretrial,Jail Inmate,Single,1357124404,1,8,Low
187,PRETRIAL,1,African-American,457588568,22,Intake,English,Pretrial,Jail Inmate,Separated,1357460040,3,8,Low
188,PRETRIAL,1,Caucasian,513089019,22,Intake,English,Pretrial,Jail Inmate,Single,1357608953,1,8,High
189,Probation,0,African-American,-532025989,22,Intake,English,Pretrial,Jail Inmate,Single,1357521435,3,8,Low
190,PRETRIAL,0,African-American,518614699,22,Intake,English,Post Sentence,Probation,Married,1357544056,1,8,Medium
191,Probation,1,African-American,320099074,17,Intake,English,Pretrial,Pretrial Defendant,Single,1357018804,4,8,Low
192,DRRD,1,Hispanic,641067788,22,Intake,English,Pretrial,Residential Program,Married,1357224656,1,8,High
193,PRETRIAL,0,Hispanic,-690848861,22,Intake,English,Pretrial,Probation,Single,1357349003,1,8,Low
194,PRETRIAL,1,African-American,-92649201,22,Intake,English,Pretrial,Probation,Single,1357304552,1,8,Low
195,PRETRIAL,1,African-American,15274135,22,Intake,English,Pretrial,Probation,Married,1357048995,1,8,High
196,PRETRIAL,0,African-American,-327674067,22,Intake,English,Pretrial,Probation,Married,1357421723,4,8,Medium
197,PRETRIAL,1,African-American,-102103851,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357271756,2,8,High
198,Probation,1,African-American,-184909817,22,Intake,English,Pretrial,Jail Inmate,Single,1357429929,1,8,Low
199,PRETRIAL,1,African-American,-668363978,22,Intake,English,Pretrial,Jail Inmate,Single,1357607595,1,8,Medium
200,Probation,1,Caucasian,-290550168,22,Intake,English,Pretrial,Jail Inmate,Single,1357157554,3,8,Low
201,PRETRIAL,1,African-American,-258529636,22,Intake,English,Post Sentence,Pretrial Defendant,Single,1358263852,3,8,Low
202,PRETRIAL,1,African-American,460718465,22,Intake,English,Pretrial,Probation,Single,1357439236,3,8,Low
203,Probation,1,African-American,-329399943,22,Intake,English,Pretrial,Probation,Married,1357151104,1,8,High
204,PRETRIAL,0,African-American,-238392443,22,Intake,English,Pretrial,Probation,Married,1357171391,2,8,Low
205,Probation,1,African-American,586660414,22,Intake,English,Pretrial,Probation,Single,1357112333,1,8,Low
206,PRETRIAL,0,African-American,66702093,22,Intake,English,Other,Jail Inmate,Married,1357718241,2,8,High
207,PRETRIAL,1,African-American,-1047730647,17,Intake,English,Pretrial,Pretrial Defendant,Single,1358081837,1,8,Low
208,Probation,1,Caucasian,-306509952,17,Intake,English,Post Sentence,Jail Inmate,Single,1357989086,4,8,Low
209,Probation,1,Native American,-259634950,22,Intake,English,Pretrial,Residential Program,Married,1357254695,1,8,Low
210,PRETRIAL,1,Caucasian,-593366610,22,Intake,English,Pretrial,Pretrial Defendant,Single,1358015972,1,8,Low
211,DRRD,1,Hispanic,203778855,22,Intake,English,Pretrial,Probation,Married,1358735685,1,8,Low
212,Probation,0,Caucasian,316379905,22,Intake,English,Pretrial,Jail Inmate,Single,1359064100,4,8,Medium
213,Probation,1,African-American,154261294,22,Intake,English,Pretrial,Pretrial Defendant,Single,1358170521,3,8,Low
214,PRETRIAL,0,African-American,-240645732,22,Intake,English,Pretrial,Pretrial Defendant,Single,1358292608,1,8,Low
215,PRETRIAL,1,Caucasian,-12762273,22,Intake,English,Conditional Release,Probation,Married,1357372659,1,8,Medium
216,PRETRIAL,1,Caucasian,460346260,22,Intake,English,Pretrial,Jail Inmate,Single,1358394438,4,8,Medium
217,PRETRIAL,0,Caucasian,-514990778,22,Intake,English,Pretrial,Pretrial Defendant,Married,1357189811,2,8,High
218,Probation,1,African-American,-666828917,17,Intake,English,Pretrial,Jail Inmate,Single,1357130699,1,8,Medium
219,PRETRIAL,1,African-American,209863399,22,Intake,English,Pretrial,Jail Inmate,Single,1357364184,1,8,Low
220,Probation,0,Other,-483238276,22,Intake,English,Other,Jail Inmate,Single,1357019698,3,8,Low
221,PRETRIAL,1,African-American,-60489049,22,Intake,English,Pretrial,Probation,Single,1357828644,1,8,Medium
222,PRETRIAL,1,Caucasian,-980034751,22,Intake,English,Post Sentence,Probation,Single,1357197955,1,8,Low
223,Probation,1,African-American,-935300108,22,Intake,English,Pretrial,Jail Inmate,Single,1357031957,3,8,High
224,PRETRIAL,0,African-American,-201328785,22,Intake,English,Pretrial,Probation,Single,1358115688,2,8,High
225,PRETRIAL,1,African-American,-543007042,22,Intake,English,Pretrial,Probation,Single,1358468792,1,8,Low
226,PRETRIAL,0,Caucasian,190849290,22,Intake,English,Post Sentence,Probation,Divorced,1358452145,1,8,Low
227,Probation,0,Hispanic,-97286328,22,Intake,English,Post Sentence,Jail Inmate,Single,1357140562,1,8,Medium
228,Probation,1,Caucasian,411686061,22,Intake,English,Pretrial,Jail Inmate,Single,1358289778,1,8,Low
229,Probation,1,African-American,-397781417,22,Intake,English,Pretrial,Pretrial Defendant,Married,1357612658,1,8,High
230,PRETRIAL,0,African-American,-207471774,22,Intake,English,Other,Jail Inmate,Divorced,1358007654,3,8,Low
231,PRETRIAL,1,Caucasian,79055309,17,Intake,English,Post Sentence,Jail Inmate,Separated,1358435390,1,8,High
232,Probation,0,Hispanic,733963300,22,Intake,English,Pretrial,Probation,Single,1358533468,1,8,Medium
233,Probation,1,African-American,757687101,22,Intake,English,Pretrial,Jail Inmate,Single,1357890586,4,8,Medium
234,PRETRIAL,1,Other,26681001,22,Intake,English,Pretrial,Probation,Single,1357289119,3,8,High
235,Probation,1,African-American,-480013930,22,Intake,English,Pretrial,Jail Inmate,Significant Other,1357116539,1,8,Low
236,Probation,1,Hispanic,-587254500,22,Intake,English,Pretrial,Jail Inmate,Single,1357372595,1,8,High
237,PRETRIAL,1,Hispanic,-298094397,22,Intake,English,Post Sentence,Jail Inmate,Single,1357408803,3,8,Low
238,Probation,1,African-American,-445313793,22,Intake,English,Pretrial,Jail Inmate,Divorced,1357883719,3,8,High
239,Probation,1,African-American,604875359,22,Intake,English,Pretrial,Jail Inmate,Single,1357128743,3,8,High
240,PRETRIAL,1,Caucasian,-247537636,22,Intake,English,Post Sentence,Jail Inmate,Separated,1357440518,1,8,Medium
241,Probation,0,African-American,72556920,17,Intake,English,Pretrial,Pretrial Defendant,Single,1357460901,3,8,Low
242,Probation,1,Hispanic,-446905513,22,Intake,English,Pretrial,Probation,Single,1357247097,2,8,Low
243,Probation,0,Hispanic,-258100250,22,Intake,English,Pretrial,Probation,Single,1357157677,4,8,Low
244,PRETRIAL,0,African-American,-366292342,22,Intake,English,Pretrial,Probation,Married,1357521664,1,8,Medium
245,PRETRIAL,1,Caucasian,-357240534,22,Intake,English,Pretrial,Probation,Significant Other,1357813592,2,8,Low
